35;06/01/2014;2014;Solicitado através Of. UENF/LAMET nº 005/2013 de 23/10/2013 e confirmada através do ofício de frequência nov/2013 - Of. UENF/GRH nº 284/13 de 28/11/13;15
35;22/08/2014;2014;Solicitado através Of. UENF/LAMET nº 005/2013 de 23/10/2013;15
46;06/01/2014;2014;null;10
62;02/01/2014;2014;null;15
89;06/01/2014;2014;null;10
106;02/01/2014;2014;null;20
72;16/01/2014;2014;null;10
144;02/01/2014;2014;null;30
66;27/01/2014;2014;null;10
123;27/01/2014;2014;null;10
19;06/01/2014;2014;null;10
57;06/01/2014;2014;null;20
86;06/01/2014;2014;null;15
267;06/01/2014;2014;null;10
42;06/01/2014;2014;null;15
21;03/01/2014;2014;null;30
44;13/01/2014;2014;null;10
61;06/01/2014;2014;Solicitado através Of. UENF/GRH nº 284/13 de 28/11/13;30
5;19/03/2014;2014;null;30
146;19/02/2014;2014;null;10
75;06/01/2014;2014;Solicitado através Of. UERJ/DGEN S/Nº de 01/11/13;15
15;06/01/2014;2014;null;30
192;06/01/2014;2014;null;10
269;02/01/2014;2014;null;20
6;08/04/2014;2014;Solicitado através Of. GPBS nº 26/2014 de 31/01/2014.;10
6;02/07/2014;2014;Solicitado através Of. GPBS nº 26/2014 de 31 de janeiro de 2014.;10
6;10/11/2014;2014;Solicitado através Of. GPBS nº 448/2013 de 07/11/2013;10
129;06/01/2014;2014;Solicitado através Of. GPBS nº 448/2013 de 07/11/2013;10
129;17/02/2014;2014;Solicitado através Of. GPBS nº 448/2013 de 07/11/2013;10
129;06/03/2014;2014;Solicitado através Of. GPBS nº 448/2013 de 07/11/2013;10
7;20/01/2014;2014;Solicitado através Of. GPBS nº 448/2013 de 07/11/2013;15
145;06/01/2014;2014;null;10
278;02/01/2014;2014;null;30
3;06/01/2014;2014;null;30
16;06/01/2014;2014;null;20
24;02/01/2014;2014;null;10
9;07/04/2014;2014;null;10
18;06/01/2014;2014;Solicitado através Of. UENF/GRH nº 284/13 de 28/11/13;10
37;13/01/2014;2014;null;20
45;20/01/2014;2014;null;10
279;24/02/2014;2014;null;10
52;06/01/2014;2014;null;30
58;20/01/2014;2014;null;10
78;02/01/2014;2014;Solicitado através Of. PMCG/AGM nº 1645/2013 de 12/11/2013;30
274;06/03/2014;2014;null;10
125;02/01/2014;2014;null;30
108;22/04/2014;2014;null;10
67;06/01/2014;2014;Solicitado através Of. UENF/GRH nº 284/13 de 28/11/13;30
117;16/01/2014;2014;Solicitado através Of. UENF/GRH nº 284/13 de 28/11/13;30
84;06/01/2014;2014;Solicitado através Of. UENF/GRH nº 284/13 de 28/11/13;15
